country,country_code,year,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,ST.INT.XPND.CD
Germany,DEU,2024,1.72028119406471,1.02145633651483,,,,12704030.0,93.5,42.1002680442064,38.2444033577531,3.10601366099202,3.10601366099202,-0.238526858256165,55800.2194549412,,,,-0.467077236996451,83510950.0,-1.05346185687202,22.105,-0.300045080252953,77.895,,,
India,IND,2019,0.463417725968969,1.78482633957161,,82.8981,1.37913,531807.0,29.5235,18.664264897257,21.2411386333872,2.40551716106513,2.40551716106513,3.87143694070356,2041.42863698585,94.7674702180886,74.9084268267486,,1.04001395098104,1389030312.0,0.367757812761523,65.528,2.33050520161306,34.472,17914000.0,26915000.0,28595000000.0
India,IND,2020,0.415823729906748,2.40620322673636,,82.254,1.63623,662298.0,43.4054,18.6824769296756,19.0756283996012,4.81485791893405,4.81485791893405,-5.77772470686801,1907.04251637669,95.675096052413,75.5437727049002,,0.973438646910149,1402617695.0,0.278193813688018,65.074,2.28185236741633,34.926,,,15777000000.0
India,IND,2021,0.54427728129202,1.41217101040888,,81.604,1.9488,746969.0,,21.3991583305515,24.0239304534931,8.35490771481598,8.35490771481598,9.68959249192875,2239.61384367482,95.8899228556846,76.0715766188242,,0.822648220128724,1414203896.0,0.102416210666256,64.607,2.15090056523008,35.393,,,
India,IND,2022,0.43430316091549,1.49248825904,5.49349042783413,80.1818,2.35232,1040120.0,55.9,23.2515412045298,26.8237289453584,5.89714185891133,5.89714185891133,7.60936497768895,2347.44829434623,96.5400009155273,76.3199996948242,25.5,0.790200540609834,1425423212.0,0.0460327046150232,64.128,2.13449924103946,35.872,,,
India,IND,2023,0.381437635526984,0.771919134264091,,80.5632,2.74535,1389294.0,,21.4486977833541,23.544144504402,2.59194954513768,2.59194954513768,9.19075493028345,2530.12031278204,97.0400009155273,81.6999969482422,,0.883289539766135,1438069596.0,0.113115762563533,63.636,2.2455122213564,36.364,,,
India,IND,2024,0.619743193032566,0.69363736851848,,,,1759175.0,,21.1781223210845,23.4929703141577,3.20181010019256,3.20181010019256,6.48422363033757,2696.66389984463,,,,0.890706546985984,1450935791.0,0.0971329960765832,63.133,2.26446328423312,36.867,,,
Italy,ITA,2019,1.85404274702956,1.77066894209208,,132.181,29.0545,914642.0,67.8507,30.9498739181942,27.7443163412796,1.04700690430435,1.04700690430435,0.429162533780342,33812.788724868,99.870002746582,99.3499984741211,34.6,-0.700011055973408,59729081.0,-1.71317711634,29.264,-0.277836405816622,70.736,95399000.0,62207000.0,37908000000.0
Italy,ITA,2020,0.248402242308732,-0.893869914296462,,129.49,30.2586,1229028.0,70.4834,28.7258551870199,25.2136287172564,1.57740278796771,1.57740278796771,-8.86822122185345,32091.4866621366,,,35.2,-0.487095091717782,59438851.0,-1.52789091401091,28.961,-0.0596580808105052,71.039,38419000.0,21448000.0,12965000000.0
Italy,ITA,2021,2.66378600555641,1.20474315612308,,130.781,31.2853,1467886.0,74.8623,31.1716088630092,29.1303687572707,1.28332187292641,1.28332187292641,8.93106210800055,36852.5425414951,,,34.8,-0.515599998844444,59133173.0,-1.5813091949036,28.654,-0.0843723464907017,71.346,,,
Italy,ITA,2022,2.24599989500342,2.94181405797187,,131.674,31.1914,1656567.0,85.0607,35.0991400412578,36.9173622620119,3.45535917134771,3.45535917134771,4.82117669913565,35653.9042103495,,,33.7,-0.20230086688254,59013667.0,-1.29359272798971,28.343,0.232653944597574,71.657,,,
